Date,Close/Last,Volume,Open,High,Low
10/23/2019,$50.936,56080900,$50.9,$51.228,$50.27
10/22/2019,$51.116,23125475,$50.864,$51.666,$50.17
10/21/2019,$50.7,25540505,$51.666,$51.9,$50.036
10/18/2019,$51.39,28768330,$52.14,$52.56,$51.02
10/17/2019,$52.394,23895215,$52.5,$52.956,$52.034
10/16/2019,$51.95,33521515,$51.478,$52.42,$51.384
10/15/2019,$51.578,32397280,$51.54,$52,$50.824
10/14/2019,$51.392,51134300,$49.58,$51.71,$49.426
10/11/2019,$49.578,42440795,$49.43,$50.216,$49.362
10/10/2019,$48.948,31567085,$49.056,$49.856,$48.316
10/09/2019,$48.906,34675165,$48.264,$49.459,$48.13
10/08/2019,$48.01,43511690,$47.174,$48.788,$46.9
10/07/2019,$47.544,40434785,$45.96,$47.712,$45.71
10/04/2019,$46.286,40105900,$46.322,$46.956,$45.614
10/03/2019,$46.606,75688800,$46.372,$46.896,$44.856
10/02/2019,$48.626,31282740,$48.658,$48.93,$47.886
10/01/2019,$48.938,30981450,$48.3,$49.19,$47.826
09/30/2019,$48.174,29730805,$48.6,$48.796,$47.2222
09/27/2019,$48.426,55615900,$48.44,$49.742,$47.746
09/26/2019,$48.512,60393950,$46.132,$48.662,$45.48
09/25/2019,$45.74,47221430,$44.912,$45.796,$43.672
09/24/2019,$44.642,64705550,$48.304,$48.398,$44.522
09/23/2019,$48.246,21958150,$48,$49.0359,$47.844
09/20/2019,$48.124,32531320,$49.298,$49.3892,$47.632
09/19/2019,$49.32,24415675,$49.2,$49.588,$48.968
09/18/2019,$48.698,21140515,$49,$49.6337,$48.474
09/17/2019,$48.958,19734545,$48.494,$49.12,$48.074
09/16/2019,$48.562,23640480,$49.2,$49.486,$48.234
09/13/2019,$49.04,26565725,$49.392,$49.69,$48.973
09/12/2019,$49.174,42906050,$49.54,$50.7,$48.88
09/11/2019,$49.42,50213900,$47.476,$49.6348,$47.2
09/10/2019,$47.108,24418570,$46.16,$47.108,$45.788
09/09/2019,$46.358,24013345,$46,$46.752,$45.846
09/06/2019,$45.49,20946860,$45.44,$45.928,$45.034
09/05/2019,$45.916,37016610,$44.5,$45.96,$44.17
09/04/2019,$44.136,28843480,$45.378,$45.692,$43.841
09/03/2019,$45.002,26802730,$44.816,$45.79,$44.632
08/30/2019,$45.122,46638875,$45.83,$46.488,$44.8426
08/29/2019,$44.342,25915520,$43.8,$44.68,$43.6
08/28/2019,$43.118,16193125,$42.738,$43.45,$42.462
08/27/2019,$42.816,27103635,$43.148,$43.76,$42.406
08/26/2019,$43,25272070,$42.72,$43.004,$42.308
08/23/2019,$42.28,42798520,$43.994,$44.234,$42.2
08/22/2019,$44.43,32824820,$44.56,$45.08,$43.644
08/21/2019,$44.166,38998720,$44.402,$44.644,$43.52
08/20/2019,$45.172,20852635,$45.524,$45.818,$44.908
08/19/2019,$45.366,26558740,$44.842,$45.566,$44.34
08/16/2019,$43.988,26036880,$43.332,$44.448,$43.204
08/15/2019,$43.128,41159760,$44.172,$44.312,$42.31
08/14/2019,$43.924,47812955,$46.242,$46.3,$43.338
08/13/2019,$47,24344990,$45.762,$47.2,$45.51
08/12/2019,$45.802,23319685,$46.598,$47.154,$45.75
08/09/2019,$47.002,19491220,$47.2108,$47.792,$46.762
08/08/2019,$47.66,26371745,$46.89,$47.96,$46.53
08/07/2019,$46.684,23882500,$45.3,$46.7138,$45.16
08/06/2019,$46.15,27821000,$46.376,$46.5,$45.15
